Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section
Who founded the Darkoti Riyasat?,Durga Singh,Prithvi Raj,Kishan Singh,Duni Chand,A,History
"The founder of Tharoch Riyasat, Kishan Singh, belonged to which lineage?",Tomar Rajput,Sisodia Rajput,Chohan Rajput,Katoch Rajput,B,History
Who was the founder of Keonthal Riyasat?,Kirat Chand,Giri Sen,Gobind Pal,Rai Singh,B,History
Who was the founder of Kumarsain Riyasat?,Keher Singh,Pritam Singh,Kirat Chand,Ajber Sen,C,History
Which Raja of Kumarsain took refuge in Kullu when the Ghorkhas attacked?,Pritam Singh,Kirat Chand,Keher Singh,Gobind Pal,C,History
Who is the founder of Dhami Riyasat?,Dalip Singh,Gobind Pal,Karan Chand,Duni Chand,B,History
The rulers of Dhami Riyasat are considered descendants of which great ruler?,Ashoka,Akbar,Prithvi Raj Chohan,Maharana Pratap,C,History
What was the capital of Dhami Riyasat?,Sunni,Halog,Junga,Kamru,B,History
Who was the Raja of Dhami when the Dhami Firing took place?,Gobind Pal,Bhagat Chand,Dalip Singh,Keher Singh,C,History
Who founded the Jubbal Riyasat?,Karan Chand,Bhagat Chand,Duni Chand,Rai Singh,A,History
Which ruler from Jubbal attended the 1911 Imperial Darbar?,Karan Chand,Bhagat Chand,Dalip Singh,Uday Pal,B,History
Who founded Rawingarh Riyasat?,Duni Chand,Rai Singh,Jayas,Giri Sen,A,History
Who was the founder of Ratesh Riyasat?,Rai Singh,Shamsher Singh,Padam Singh,Durga Singh,A,History
Which was the smallest Riyasat in Shimla?,Darkoti,Ratesh,Sangari,Balson,B,History
Sangari Thakurai was conquered by which ruler of Kullu?,Man Singh,Jagat Singh,Bahadur Singh,Maheshwar Singh,A,History
"In 1819, who founded the residence ""Cottage Wood"" in Shimla?",Major Kennedy,Lt. Ross,Lord Amherst,Lord Auckland,B,History
"Who built the first ""Pakka House"" in Shimla in 1822?",Lt. Ross,Major Kennedy,Lord Amherst,Henry Erwin,B,History
Which Governor General stayed in Kennedy House in 1827?,Lord Amherst,Lord Auckland,Lord Dalhousie,Lord Canning,A,History
"Who famously said, ""China and I govern half of the humans and still we have the time for breakfast""?",Lord Curzon,Lord Amherst,Lord Lytton,Lord Dalhousie,B,History
In which year was Bantick Castle built?,1822,1827,1832,1838,C,Architecture
When was the Sanjauli Bazar Tunnel constructed?,1851,1860,1887,1903,A,Architecture
Who designed Rothney Castle in 1883?,Henry Erwin,Daniel Wilson,A.O. Hume,Major Kennedy,C,Architecture
What was the name of the first play performed at the Getty (Gaiety) Theater?,Time will tell,The Mousetrap,Romeo and Juliet,Waiting for Godot,A,Culture
Who was the engineer responsible for the formation of Tunnel 103?,Henry Erwin,H.S. Harrington,Daniel Wilson,Major Kennedy,B,Architecture
The Shimla Delegation for the formation of AIML met which Viceroy in 1906?,Lord Curzon,Lord Minto,Lord Dufferin,Lord Elgin,B,History
Which building houses the AG Office in Shimla?,Peterhoff,Barnes Court,Gorton Castle,Ellerslie Building,C,Architecture
Who designed Christ Church (1844)?,Henry Erwin,Daniel Wilson,A.O. Hume,H.S. Harrington,B,Architecture
Who designed the Viceregal Lodge (Advance Studies)?,Henry Erwin,Daniel Wilson,Lt. Ross,A.O. Hume,A,Architecture
Who was the first Viceroy to reside in the Viceregal Lodge?,Lord Curzon,Lord Dufferin,Lord Minto,Lord Elgin,B,History
Which building formerly served as the Punjab High Court?,Gorton Castle,Peterhoff,Barnes Court,Rothney Castle,B,Architecture
The Ellerslie Building is currently known as what?,HP Secretariat,Raj Bhawan,State Museum,Vidhan Sabha,A,Administration
In which year was Shimla formed as a Municipal Committee?,1852,1871,1966,1978,A,Administration
Where did Mahatma Gandhi reside during his visits to Shimla?,Manorville,Shanti Kutir,Peterhoff,Kennedy House,B,History
Which fair is considered the oldest in Himachal Pradesh and was started by Raja Kehri Singh?,Lavi Fair,Minjar Fair,Shivratri Fair,Renuka Fair,A,Culture
In which month is the Lavi Fair celebrated?,October,November,December,January,B,Culture
"Where is the ""Pathar ka Khel"" (Stone Game) Fair celebrated?",Mashobra,Halog,Rampur,Kotkhai,B,Culture
The Sippi Fair in Mashobra is celebrated in which month?,April,May,June,September,B,Culture
Tara Devi is the family goddess of which princely state?,Balson,Bhaji,Keonthal,Jubbal,C,Culture
The Bhimakali Temple in Sarahan is built in which architectural style?,Pagoda Style,Pent Roof Style,Kath-Kuni Style,Nagara Style,C,Culture
Where is the Sun Temple located in the Rampur Bushahr region?,Sarahan,Nirath,Dutt Nagar,Nirmand,B,Culture
Where is the Army Heritage Museum located in Shimla?,Summer Hill,Annadale,Chaura Maidan,Sanjauli,B,Places
In which year was the Army Headquarters declared in Shimla?,1852,1864,1888,1906,B,History
Where is the Himachal Pradesh Institute of Public Administration (HIPA) located?,Peterhoff,Fairlawns,Gorton Castle,Barnes Court,B,Administration
"The ""Dumh Movement"" of 1869 took place in which state against cash revenue collection?",Dhami,Bushahr,Keonthal,Jubbal,B,History
On which date is the Statehood Day of Himachal Pradesh (Full Statehood) celebrated?,15 April,25 January,1 November,22 July,B,HP State Events
When is Himachal Day (Formation of HP) observed?,25 January,15 August,15 April,26 January,C,HP State Events
On which date is the Himachal Pradesh University Foundation Day observed?,22 July,25 January,15 April,11 November,A,HP State Events
Maharaja Sansar Chand Jayanti is observed on which date?,20 October,23 June,11 November,15 April,A,HP Personalities
When is Raja Virbhadra Jayanti celebrated?,20 October,22 July,23 June,11 November,C,HP Personalities
The Lavi Fair (Tribal Trade Festival) commences on which date?,11 November,20 October,23 June,15 April,A,HP Fairs
In which month is the Renuka Fair held?,September,October,November,July,C,HP Fairs
Which months mark the celebration of the Minjar Fair?,October–November,July–August,August–September,April–May,B,HP Fairs
The Phulaich (Uhl Festival) is celebrated in which month?,August,November,September,October,C,HP Fairs
During which month does the Kullu Dussehra typically take place?,September,October,November,December,B,HP Fairs
When is National Panchayati Raj Day observed in India?,24 April,25 January,2 October,15 August,A,National Days
On which date is Constitution Day observed in India?,26 January,15 August,26 November,2 October,C,National Days
When is World Environment Day celebrated globally?,22 April,5 June,16 September,22 May,B,International Days
On which date is National Hindi Diwas observed?,10 January,14 September,15 August,2 October,B,National Days
When is International Women’s Day celebrated?,24 January,8 March,15 April,22 July,B,International Days
On which date is National Youth Day observed in India?,12 January,15 January,24 January,28 February,A,National Days
When is National Science Day celebrated in India?,24 January,28 February,3 March,22 March,B,National Days
World Health Day is observed on which date?,24 March,7 April,22 April,25 April,B,International Days
On which date is National Sports Day celebrated in India?,15 August,20 August,29 August,5 September,C,National Days
When is Human Rights Day observed globally?,26 November,1 December,4 December,10 December,D,International Days
What is the total geographical area of Himachal Pradesh?,"55,673 sq. km","58,231 sq. km","52,145 sq. km","48,098 sq. km",A,Agriculture and Horticulture
"What percentage of the total geographical area in Himachal Pradesh is under ""Forest coverage""?",68.16%,24.55%,35.06%,11.49%,B,Agriculture and Horticulture
When was the Himachal Pradesh Marketing Corporation (HPMC) established?,1971,1974,1985,1966,B,Agriculture and Horticulture
In which year was the Himachal Pradesh State Electricity Board (HPSEB) constituted?,1971,1974,1985,1968,A,Power
When was HIMURJA constituted to promote renewable energy programmes in the State?,1985,1989,1992,2002,B,Power
When was the Himachal Pradesh Power Corporation Limited (HPPCL) established?,January 2002,December 2006,March 2009,September 1971,B,Power
"The ""Himachal Pradesh Town and Country Planning Act"" was enforced in which year?",1972,1977,1985,1991,B,Housing and Urban Development
In which year was the Himachal Pradesh Housing Board renamed as HIMUDA?,2002,2004,2006,2008,B,Housing and Urban Development
"The ""Himachal Pradesh Non-Biodegradable Garbage (Control) Act"" was enacted in which year?",1990,1995,2000,2005,B,Forestry and Environment
When was the Himachal Pradesh Kaushal Vikas Nigam (HPKVN) incorporated?,"14th Sept, 2015","2nd Oct, 2016","1st Jan, 2018","15th Aug, 2014",A,Labour and Employment
When was the Himachal Pradesh Building and Other Construction Workers (BOCW) Welfare Board established?,2005,2009,2012,2015,B,Labour and Employment
When was the Himachal Pradesh State Wide Area Network (HIMSWAN) set up?,"February, 2008","January, 2010","March, 2005","December, 2012",A,Digital Technologies and Governance
"Under which section of the Motor Vehicle Act, 1988 does the Transport Department function?",Section 113,Section 213,Section 188,Section 201,B,"Tourism, Road and Transport"
What is the total length of National Highways in Himachal Pradesh?,"1,850 km","2,000 km","2,592 km","3,100 km",C,"Tourism, Road and Transport"
"According to the 2011 Census, what is the literacy rate of Himachal Pradesh?",76.50%,82.80%,88.70%,78.80%,B,Statistical Tables
"According to the 2011 Census, what is the population density per square kilometer in Himachal Pradesh?",109,116,123,135,C,Statistical Tables
"According to the 2011 Census, what is the sex ratio of Himachal Pradesh?",943,972,968,950,B,Statistical Tables
Which district has the highest percentage of forest cover according to the Forest Department data?,Chamba,Kinnaur,Kullu,Lahaul-Spiti,B,Forestry and Environment
"Where is the ""Centre of Excellence in Mental Health"" constructed in Himachal Pradesh?","IGMC, Shimla","Dr. RPGMC, Tanda","SLBSGMC, Nerchowk","AIIMS, Bilaspur",B,Health
"As per the Livestock Census 2019, what is the rank of Himachal Pradesh in Cattle population in the country?",15th,20th,27th,12th,B,Animal Husbandry
Which district in Himachal Pradesh receives the highest rainfall?,Chamba,Sirmaur,Mandi,Kangra,D,Agriculture and Horticulture
Where is the Government Horse Breeding Farm located in the Lahaul-Spiti district?,Kaza,Lari,Keylong,Tabo,B,Animal Husbandry
On which river is the proposed Kishau Multipurpose Project (660 MW) located?,Satluj,Beas,Tons,Ravi,C,Power
Where is a large zoo being established in District Kangra with an estimated cost of ₹600 crore?,Palampur,Bankhandi,Nurpur,Dehra,B,Forestry and Environment
"Which destination in Himachal Pradesh has been selected under the ""Swadesh Darshan 2.0"" scheme?",Chintpurni,Pong Dam,Rewalsar,Khajjiar,B,Tourism
"Under ""Mukhya Mantri Protsahan Yojana"", what is the one-time award amount given to students selected for degree courses in IITs or AIIMS?","₹50,000","₹75,000","₹1,00,000","₹25,000",B,Education
"What is the monthly financial assistance provided to patients suffering from specified serious diseases under ""Mukhya Mantri Sahara Yojana""?","₹2,000","₹3,000","₹4,000","₹5,000",B,Health
Which two cities in Himachal Pradesh have been included under the AMRUT (Atal Mission for Rejuvenation and Urban Transformation) scheme?,Shimla and Dharamshala,Shimla and Kullu,Mandi and Solan,Dharamshala and Manali,B,Housing and Urban Development
"Under ""Mukhya Mantri Swavalamban Yojana"" (MMSY), what is the investment subsidy percentage for women-led enterprises?",25%,30%,35%,40%,C,Industries
Where are the Software Technology Parks of India (STPI) centres being established in Himachal Pradesh?,Shimla and Kangra,Solan and Una,Hamirpur and Mandi,Bilaspur and Kullu,A,Digital Technologies and Governance
