Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section 
Chronological order of Suket rulers: (1) Bhimsen (2) Rudrasen (3) Ugrasen (4) Lakshmansen,(2) (3) (4) (1),(3) (2) (1) (4),(2) (1) (3) (4),(3) (1) (2) (4),B,2024
Statement I: Patsari river is tributary of Tons. Statement II: Patsari originates near Kharapathar.,Both correct,Both incorrect,"I correct, II incorrect","I incorrect, II correct",D,2024
Statement I: Bara Shigri first surveyed by Walker in 1906. Statement II: Bara Shigri is largest glacier in H.P.,Both correct,Both incorrect,"I correct, II incorrect","I incorrect, II correct",A,2024
Match forest cover (2021): (a) Very Dense (b) Moderate Dense (c) Open Forest (d) Total,iv i ii iii,i iii iv ii,ii iv i iii,ii i iv iii,A,2024
"Not a member of Advisory Council for H.P. (Sept 30, 1948):",Swami Purnanand,Mehta Avtar Chand,Lila Devi,Satya Dev Bushahri,D,2024
Statement I: Enforced Punjab Village Panchayat Act in 1949. Statement II: 466 Gram Panchayats by end of 1956.,Both correct,Only I correct,Only II correct,Both incorrect,A,2024
Match Mandi MLA (1952-56): (a) Gauri Prasad (b) Karam Singh (c) Besar Ram (d) Rattan Singh,iii iv i ii,ii iii i iv,i ii iv iii,iv iii ii i,A,2024
Consider Monkey Valley in Chamba and Great Himalayas as Alpine zone:,(2) and (3) only,(1) and (3) only,(3) and (4) only,(1) and (2) only,B,2024
Match: (a) Rahla (b) Bhagsu (c) Badri (d) Chadwick,iv ii i iii,iv ii iii i,iv iii ii i,i ii iii iv,A,2024
Climatic zones rainfall lowest to highest: (1) Frigid aridic (2) Wet temperate (3) Humid subtropical (4) Sub-humid,(2) (4) (1) (3),(1) (4) (3) (2),(1) (3) (4) (2),(4) (1) (3) (2),B,2024
Consider H.P. outlays for rural development and MGNREGS (2022-23):,(1) and (3) only,(2) and (3) only,(1) and (2) only,(3) and (4) only,B,2024
Percent agriculture and allied industries account for total GSVA of H.P.?,13.70%,10.61%,15.10%,14.91%,A,2024
Foreign tourist arrivals in descending order: (1) 2020 (2) 2021 (3) 2022 (4) 2023,"(4), (3), (2), (1)","(4), (1), (3), (2)","(3), (1), (2), (4)","(3), (4), (2), (1)",B,2024
Match Industry workers (2022-23): (a) Mining (b) Manufacturing (c) Electricity (d) Construction,"(i), (ii), (iv), (iii)","(ii), (iv), (iii), (i)","(iv), (iii), (i), (ii)","(iii), (i), (ii), (iv)",A,2024
Match Bank branches (2023-24): (a) PSBs (b) Private (c) Gramin Bank (d) Co-operative,"(iii), (i), (iv), (ii)","(ii), (iv), (iii), (i)","(i), (iv), (ii), (iii)","(iii), (ii), (iv), (i)",A,2024
Match: (a) Highest Rainfall (b) Crime Incidents (c) Fourth Population (d) Fourth Area,"ii, iii, i, iv","i, iv, iii, ii","iii, ii, iv, i","iv, i, ii, iii",C,2025
Which ruler of Magadha was known as 'Senia'?,Bimbisara,Ajatashatru,Mahapadma Nanda,Chandragupta Maurya,A,History (2016)
In which year did the Second Battle of Tarain take place?,1191 AD,1192 AD,1206 AD,1526 AD,B,History (2016)
The silver coins of the Gupta period were known as:,Dinar,Rupyaka,Pana,Karshapana,B,History (2016)
Who was the Mughal Emperor when the East India Company was established in London?,Jahangir,Humayun,Akbar,Aurangzeb,C,History (2016)
The Mansabdari system was introduced by:,Babur,Humayun,Akbar,Shah Jahan,C,History (2016)
Which of the following Vedas contains sacrificial formulae?,Rigveda,Samaveda,Yajurveda,Atharvaveda,C,History (2017)
The first Buddhist Council was held at:,Vaishali,Pataliputra,Rajgriha,Kashmir,C,History (2017)
Who wrote 'Kiratarjuniyam'?,Bharavi,Kalidasa,Bhasa,Shudraka,A,History (2017)
The capital of the Pallavas was:,Madurai,Kanchi,Tanjore,Vatapi,B,History (2017)
Which Sufi saint was known as 'Mahbub-i-Ilahi'?,Nizamuddin Auliya,Moinuddin Chishti,Baba Farid,Nasiruddin Chiragh,A,History (2017)
The 'Doctrine of Lapse' was introduced by:,Lord Wellesley,Lord Dalhousie,Lord Canning,Lord Curzon,B,History (2017)
Who was the first Governor-General of Bengal?,Robert Clive,Warren Hastings,William Bentinck,Cornwallis,B,History (2017)
The Swaraj Party was formed following the failure of:,Quit India,Non-Cooperation,Civil Disobedience,Swadeshi,B,History (2018)
In which year was the Vernacular Press Act passed?,1878,1882,1894,1905,A,History (2018)
Who led the Salt Satyagraha in Tamil Nadu?,C. Rajagopalachari,K. Kamaraj,P. Sriramulu,T. Prakasam,A,History (2018)
The Pitt’s India Act was passed in:,1773,1784,1793,1813,B,History (2018)
Who founded the 'Atmiya Sabha'?,Raja Ram Mohan Roy,Jyotiba Phule,Dayanand Saraswati,Annie Besant,A,History (2018)
The Indian National Congress was founded during the viceroyalty of:,Lord Lytton,Lord Ripon,Lord Dufferin,Lord Mayo,C,History (2019)
Who was the author of 'Gulamgiri'?,B.R. Ambedkar,Jyotiba Phule,Periyar,M.K. Gandhi,B,History (2019)
Which Harappan site is located in Gujarat?,Lothal,Banawali,Kalibangan,Ropar,A,History (2019)
The 'Third Battle of Panipat' was fought in:,1526,1556,1739,1761,D,History (2019)
Who was the first Muslim President of the INC?,Badruddin Tyabji,Abul Kalam Azad,Rafi Ahmed Kidwai,M.A. Jinnah,A,History (2019)
Which article of the Constitution deals with the 'Right to Equality'?,Article 14-18,Article 19-22,Article 23-24,Article 25-28,A,Polity (2016)
The concept of 'Directive Principles' was borrowed from:,USA,UK,Ireland,Canada,C,Polity (2016)
Who is the ex-officio Chairman of Rajya Sabha?,President,Vice-President,Prime Minister,Speaker,B,Polity (2016)
The 'Panchayati Raj' was first introduced in:,Rajasthan,Andhra Pradesh,Gujarat,Uttar Pradesh,A,Polity (2016)
The Finance Commission is appointed under Article:,280,312,324,360,A,Polity (2016)
Who appoints the Chief Justice of India?,Prime Minister,President,Law Minister,Parliament,B,Polity (2017)
The 73rd Amendment Act is related to:,Municipalities,Panchayati Raj,Land Reforms,Language,B,Polity (2017)
Uniform Civil Code' is mentioned in Article:,40,44,48,50,B,Polity (2017)
The maximum strength of Lok Sabha is:,545,550,552,560,C,Polity (2017)
In which year was the Planning Commission abolished?,2013,2014,2015,2016,B,Polity (2017)
The 'Joint Sitting' of Parliament is presided over by:,President,Vice-President,Speaker of Lok Sabha,Prime Minister,C,Polity (2018)
The fundamental duties were added by which amendment?,42nd,44th,52nd,61st,A,Polity (2018)
Who can remove the Governor of a State?,Chief Minister,President,High Court Judge,Parliament,B,Polity (2018)
Right to Education' became a fundamental right in:,2002,2005,2009,2010,A,Polity (2018)
The 'Quo-Warranto' is a type of:,Law,Writ,Bill,Motion,B,Polity (2018)
How many schedules are there in the Indian Constitution?,8,10,11,12,D,Polity (2019)
The 'Anti-Defection Law' is contained in which schedule?,8th,9th,10th,11th,C,Polity (2019)
The 'State Reorganisation Act' was passed in:,1950,1953,1956,1960,C,Polity (2019)
Who was the Chairman of the Drafting Committee?,Rajendra Prasad,B.R. Ambedkar,J.L. Nehru,Sardar Patel,B,Polity (2019)
The President can nominate how many members to Rajya Sabha?,2,10,12,15,C,Polity (2019)
Money Bill' is defined in Article:,110,112,123,360,A,Polity (2020)
Who is the 'Guardian of the Constitution'?,Parliament,President,Supreme Court,Prime Minister,C,Polity (2020)
The 'Pocket Veto' is a power of:,Speaker,Prime Minister,President,Governor,C,Polity (2020)
Which part of the Constitution deals with Citizenship?,Part I,Part II,Part III,Part IV,B,Polity (2020)
The 'Election Commission' is a:,Statutory Body,Constitutional Body,Executive Body,NGO,B,Polity (2020)
The tenure of a Rajya Sabha member is:,4 years,5 years,6 years,Permanent,C,Polity (2020)
Who administered the oath to the President?,Vice President,Chief Justice of India,Speaker,PM,B,Polity (2020)
GST Council' is chaired by:,PM,Finance Minister,RBI Governor,NITI Aayog CEO,B,Polity (2020)
