Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section
The Panchvaktra Temple was built in the 14th century by which ruler?,Ajbar Sen,Sidh Sen,Ban Sen,Suraj Sen,B,Culture
Who built the Tarna Devi Temple on Tarna Hills?,Shyam Sen,Sidh Sen,Ajbar Sen,Bhawani Sen,A,Culture
The 'Skodi Festival' in Jogindernagar is celebrated in honor of whom?,Shiva,Sati,Vishnu,Padmasambhava,B,Culture
The Suket Praja Mandal was established in which year?,1939,1942,1945,1948,C,Polity
Who constructed the Suraj Kund Temple in Suket?,Wife of Garud Sen,Wife of Shyam Sen,Wife of Madan Sen,Wife of Bikram Sen,A,Culture
"Which Mandi ruler was known for the saying ""Silence is the boon principle""?",Ishwari Sen,Surma Sen,Balbir Sen,Zalim Sen,B,History
What was the old name of Mandi Town?,Sahliyana,Shivkot,Bathauli,Bhiyuli,A,History
The 'Nalwani Fair' in Mandi is celebrated in which month?,February,April,May,October,C,Culture
What was the ancient name of Sirmour?,Kalkoot,Sulokhina,Kulinda,Kiardadoon,B,History
Which tribe historically inhabited the Sirmour region?,Kinnauras,Gaddis,Kulindas,Kiratas,C,History
Who is considered the founder of the Sirmour state who arrived from Jaisalmer in 1139 AD?,Subhansh Prakash,Raja Rasaloo,Udit Prakash,Karam Prakash,B,History
Who was the first ruler of Sirmour to adopt the title 'Prakash'?,Sumer Prakash,Subhansh Prakash,Udit Prakash,Suraj Prakash,B,History
Which ruler shifted the capital of Sirmour from Rajban to Kalsi?,Udit Prakash,Sumer Prakash,Nakat Prakash,Veer Prakash,A,History
What was the ancient name of Kalsi?,Sulokhina,Kalkoot,Rajban,Taal,B,History
"Which ruler of Sirmour gave shelter to Nizam-ul-mulk, an enemy of Razia Sultan?",Veer Prakash,Kol Prakash,Nakat Prakash,Suraj Prakash,B,History
Who built the Rawin Garh fort and made Hatkoti his capital?,Veer Prakash,Deep Prakash,Karam Prakash,Budh Prakash,A,History
In which year was the Balasundri Temple of Trilokpur constructed by Raja Deep Prakash?,1550 AD,1573 AD,1621 AD,1686 AD,B,Culture
Which ruler founded Nahan and shifted the capital there in 1621 AD?,Mandhata Prakash,Subhav Prakash,Karam Prakash,Budh Prakash,C,History
"Which Sirmour ruler received the title ""Barti-Raja"" from Aurangzeb's sister, Alamara?",Medni Prakash,Budh Prakash,Fateh Prakash,Shamsher Prakash,B,History
"During the reign of which ruler did the ""Battle of Banghani"" take place in 1686?",Medni Prakash,Fateh Prakash,Bhim Chand,Amar Prakash,A,History
Who was the opponent of Guru Gobind Singh in the Battle of Banghani?,Raja Rasaloo,Bhim Chand of Kehlur,Sansar Chand,Raja of Gharwal,B,History
Who built the Sheesh Mahal and Moti Mahal in Sirmour?,Shamsher Prakash,Amar Prakash,Fateh Prakash,Rajendra Prakash,C,History
Which ruler helped the British during the Revolt of 1857 and received a 'Khilat'?,Fateh Prakash,Shamsher Prakash,Amar Prakash,Rajendra Prakash,B,History
Who built the Mahima Library in Nahan in 1926?,Shamsher Prakash,Rajendra Prakash,Amar Prakash,Fateh Prakash,C,History
Who was the last ruler of the Sirmour princely state?,Amar Prakash,Rajendra Prakash,Shamsher Prakash,Fateh Prakash,B,History
In which year did the Pajhota Andolan take place?,1939,1942,1945,1948,B,History
Who among the following was a leader of the Pajhota Andolan?,Bhim Singh,Vaidya Surat Ram,Kinkri Devi,Shiva Nand Ramaul,B,History
On which date did Sirmour become a part of Himachal Pradesh?,15th August 1947,25th January 1971,15th April 1948,1st November 1966,C,History
Which language is predominantly spoken in the Sirmour region mentioned in the sources?,Chambyali,Mandyali,Jaunsari,Kulvi,C,Culture
The Renuka Fair is celebrated 10 days after which festival?,Holi,Dussehra,Diwali,Baisakhi,C,Culture
Which temple is located near the Renuka river?,Gayatri Temple,Vishwakarma Temple,Katasan Devi Temple,Shirgul Devta Temple,A,Culture
Which dance form involves dancers using tiger masks carved out of wood?,Nati,Swang Tegi,Burah,Gee,B,Culture
Kariyala' is a form of what in Himachal Pradesh?,Folk Dance,Folk Song,Folk Drama,Folk Painting,C,Culture
Where is the Fossil Museum (established in 1974) situated in Sirmour?,Nahan,Paonta Sahib,Suketi,Rajban,C,Geography
Which is the largest natural lake in Himachal Pradesh?,Dal Lake,Gobind Sagar,Renuka Lake,Rewalsar Lake,C,Geography
Which sage (Rishi) is associated with Renuka Lake?,Rishi Vashistha,Rishi Vyas,Rishi Jamadagni,Rishi Markandeya,C,Culture
"Kinkri Devi, a notable personality from Sirmour, was known as an:",Educationist,Environmentalist,Freedom Fighter,Artist,B,Gen. Awareness
Which is the biggest river in Sirmour and a tributary of the Yamuna?,Tons,Giri,Pabbar,Bata,B,Geography
What was the old name of Paonta Sahib?,Kiardadoon,Kalkoot,Sulokhina,Dehradoon,A,Geography
From where did the Revolt of 1857 start in Himachal Pradesh?,Jutogh Cantt,Dagshai Cantt,Kasauli Cantt,Subathu Cantt,C,History
Who led the Revolt of 1857 in Kasauli?,Ram Singh Pathania,Bhim Singh,Laxmi Singh,Surat Ram,B,History
Which valley is situated in Sirmour?,Sangla Valley,Habban Valley,Balh Valley,Chamba Valley,B,Geography
The 'Gee Dance' is performed in a musical tone involving:,Questions & Answers,Sword Fighting,Mimicry,Fire juggling,A,Culture
Who constructed the Delhi Gate Memorial (Lytton Memorial) in 1878?,Fateh Prakash,Amar Prakash,Shamsher Prakash,Rajendra Prakash,C,History
Which ruler established the Enfield tea garden in Dehradun?,Shamsher Prakash,Karam Prakash,Medni Prakash,Deep Prakash,A,History
Who built the Ranital at Nahan?,Amar Prakash,Shamsher Prakash,Fateh Prakash,Mandhata Prakash,B,History
The Chaurasi Ghanto Wali Devi Temple is located in:,Nahan,Paonta Sahib,Trilokpur,Renuka,C,Culture
Raja Veer Prakash received a tribute from which Delhi Sultan?,Alauddin Khilji,Muhammad Bin Tughlaq,Firoz Shah Tughlaq,Sikandar Lodi,C,History
What was the ancient name of Bilaspur?,Trigarta,Kuluta,Kahlur,Hindur,C,History
Who was the founder of the princely state of Bilaspur (Kahlur)?,Ajay Chand,Bir Chand,Kahal Chand,Megh Chand,B,History
Which ruler of Bilaspur constructed the fort of Kot Kehlur?,Bir Chand,Kahal Chand,Ajmer Chand,Kalyan Chand,B,History
Who founded the state of Hindur (Nalagarh)?,Ajay Chand,Abhisad Chand,Sampurn Chand,Ratan Chand,A,History
Which Sultan of Delhi helped Raja Megh Chand recover his lost territory?,Alauddin Khilji,Balban,Iltutmish,Firoz Shah Tughlaq,C,History
Raja Abhisad Chand of Bilaspur defeated Tatar Khan and was a contemporary of which Delhi ruler?,Akbar,Sikandar Lodhi,Babur,Shah Jahan,B,History
Which ruler of Bilaspur converted to Islam at the request of the Viceroy of Sirhind?,Gyan Chand,Kalyan Chand,Deep Chand,Bhim Chand,A,History
Which Raja of Bilaspur gifted a piece of land to Guru Gobind Singh Ji?,Mahan Chand,Kalyan Chand,Bhim Chand,Kharak Chand,B,History
Who founded Bilaspur town and shifted the capital to Dholru (Vyas Guffa)?,Deep Chand,Bir Chand,Ajmer Chand,Bijai Chand,A,History
Raja Deep Chand was poisoned by which ruler of Kangra in 1667?,Sansar Chand,Chandra Bhan,Ghamand Chand,Hamir Chand,B,History
Who constructed the Ajmer Garh Fort?,Amar Chand,Ajmer Chand,Anand Chand,Abhisad Chand,B,History
Who was the ruler of Bilaspur when the Gurkhas defeated Sansar Chand at Mahalmooriyan?,Mahan Chand,Khadak Chand,Hari Chand,Bijai Chand,A,History
Which traveler visited Bilaspur during the reign of Mahan Chand?,Vigne,Moorcroft,Forster,Goldstein,B,History
"Which period is considered the ""darkest period"" in the history of Kehlur?",Reign of Megh Chand,Reign of Khadak Chand,Reign of Mahan Chand,Reign of Bijai Chand,B,History
"The reign of which ruler is known as the ""Golden Period"" of Bilaspur history?",Hari Chand,Deep Chand,Bir Chand,Mahan Chand,A,History
Which Viceroy visited Bilaspur in 1871 to meet Raja Hari Chand?,Lord Curzon,Lord Mayo,Lord Lytton,Lord Ripon,B,History
Who constructed the tanks at Jagatkhana and Swaraghat?,Bijai Chand,Hari Chand,Amar Chand,Anand Chand,B,History
Who constructed the Rang Mahal in Bilaspur in 1900?,Amar Chand,Bijai Chand,Anand Chand,Hari Chand,B,History
"Who was the author of the book ""Bilaspur ki Kahani""?",Anand Chand,Amar Chand,Bijai Chand,K.C. Aryan,B,History
Who was the last ruler of the princely state of Kehlur?,Amar Chand,Bijai Chand,Anand Chand,Hari Chand,C,History
When was Bilaspur merged with Himachal Pradesh?,"April 15, 1948","January 25, 1971","July 1, 1954","November 1, 1966",C,Admin
"Before merging with Himachal Pradesh, what was the status of Bilaspur?",Part A State,Part B State,Part C State,Union Territory,C,Admin
Who started the Nalwari Fair in Bilaspur in 1889 AD?,W. Goldstein,E. Goldstein,Lord Mayo,Moorcroft,B,Culture
At which place is the Markanda Fair held in Bilaspur?,Luhnu,Jukhala,Kandrour,Swaraghat,B,Culture
Who built the Naina Devi Temple?,Bir Chand,Deep Chand,Bhim Chand,Ajmer Chand,A,Culture
"Where is the ""Guru ka Lahore"" situated?",Kangra,Mandi,Bilaspur,Hamirpur,C,Culture
Vyas Guffa is located near the bank of which river?,Beas,Satluj,Ravi,Yamuna,B,Geography
What is the approximate area of Bilaspur district?,"1,936 km²","1,167 km²","2,825 km²","1,388 km²",B,Geography
Which is the largest man-made lake situated in Himachal Pradesh?,Pong Dam,Pandoh Dam,Chamera Lake,Govind Sagar Lake,D,Geography
What is the length of Govind Sagar Lake?,42 km,65 km,88 km,96 km,C,Geography
Bhakra Dam is constructed on which river?,Beas,Ravi,Chenab,Satluj,D,Geography
In which year was the Bhakra Dam completed?,1948,1954,1963,1971,C,Geography
"Who described Bhakra Dam as the ""New Temple of Resurgent India""?",Mahatma Gandhi,Pt. J.L. Nehru,Sardar Patel,Indira Gandhi,B,Misc
The Jugga Satyagraha (1883-1888) was a movement against which ruler?,Amar Chand,Hari Chand,Bijai Chand,Anand Chand,A,History
The Jugga Satyagraha was launched for the abolishment of what?,Sati System,Child Marriage,Begar (Forced Labour),Land Revenue,C,History
Which mountain range is present in Bilaspur?,Dhauladhar,Pir Panjal,Tiun Dhar,Zanskar,C,Geography
Which ruler made the Murari Devi Temple?,Bhim Chand,Devi Chand,Mahan Chand,Khadak Chand,A,Culture
Who was the contemporary of Nadir Shah?,Ajmer Chand,Devi Chand,Mahan Chand,Bhim Chand,B,History
Who constructed the Yamuna Fort?,Bijai Chand,Amar Chand,Anand Chand,Hari Chand,B,History
Who made the judicial reforms in Bilaspur?,Bijai Chand,Hari Chand,Amar Chand,Anand Chand,A,History
