Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section 
Around which year did the Gurkhas capture the Sirmaur princely state?,1803 AD,1815 AD,1820 AD,1826 AD,A,2017
Which raja of Bushahr princely state was conferred the title of Chhatarpati by the Mughal emperor Aurangzeb?,Udai Singh,Ram Singh,Kehri Singh,Vijay Singh,C,2017
By what name did the Greek scholars call the Satluj River?,Zungtee,Muksang,Heisidrus,Satudri,C,2017
According to which legend God (Devta) killed Banasur who was the ruler of Sarahan area of upper Shimla?,Tapa Purana,Anna Purana,Deva Purana,Garud Purana,C,2017
From which place does the Spiti River originate?,Kunjam Pass,Tandi,Tabo,Gramfu,A,2017
At which place in Bilaspur District of H.P. a woman Industrial Training Institute (I.T.I) has been made functional during 2015-16?,Malari,Jagatkhana,Bharari,Daslehra,C,2017
What is the approximate capacity of Sawra-Kuddu Hydro-Electric Power Project?,65 MW,100 MW,111 MW,130 MW,C,2017
In which two Districts of H.P. will the H.P. Forest Ecosystem Climate Proofing Project be implemented?,Bilaspur and Solan,Shimla and Kinnaur,Una and Hamirpur,Kangra and Chamba,D,2017
How much subsidy is given in H.P. to the women of eligible category for providing Gas connection under Mata Shabri Mahila Sashaktikaran Yojana?,"30% up to Rs. 1,000","50% up to Rs. 1,300","75% up to Rs. 1,500","80% up to Rs. 2,000",B,2017
What is the architectural style of Hateshwari Temple at Hatkoti?,Pentroof,Pagoda,Cone shaped,Pyramidal shaped,D,2017
What is the number of women members in the present H.P. Vidhan Sabha (at the time of the 2017 exam)?,Two,Three,Four,Five,B,2017
At which place in Shimla District of H.P. is Government Sheep Breeding Farm?,Chopal,Kiari,Jeori,Mandal,C,2017
According to 2010-11 Agricultural census what is the percentage of small land holding in H.P.?,8.84%,12.06%,17.72%,18.17%,D,2017
"Which cement company has been given a prospecting license for limestone study in Chopal, Shimla?",M/s. Reliance Cementation,M/s. Associated Cement Companies,M/s. Asian Cement Company,M/s. Ambuja Cement Company,A,2017
Which Himachali revolutionary edited Sudarshan Chakra magazine from Lahore?,Yashpal,Inderpal,Sher Jung,Swami Krishana Nand,B,2017
Who is the author of book Kullu and Lahaul?,C.G. Bruce,E.J. Buck,R. M. Bernier,W.G. Archer,A,2017
Which subject matter is NOT found in the 18th-century Kangra Kalam style paintings?,Geet Gobind,Satsai of Bihari,Padmavat of Zayasi,Rasik Priya,C,2017
"As per Census 2011, literacy rate in Himachal Pradesh for male and female respectively is:",90.27 and 70.08,89.53 and 75.93,89.53 and 71.53,90.27 and 71.53,B,2017
The growth rate of Himachal Pradesh during 12th Plan (2012-17) has been estimated at:,6.8 percent,7.2 percent,7.8 percent,5.9 percent,B,2017
Which of the following valleys lies between the Dhauladhar and Pir Panjal?,Balh Valley,Bara Bhangal Valley,Kiara Dun Valley,Pabbar Valley,B,2018
Which Himalayan zone occupies the maximum percentage of the total geographical area of H.P.?,Sub-Himalayan Zone,Mid-Himalayan Zone,High Hill Zone,Trans Himalayan Zone,D,2018
Shingo-La is the name of which pass?,Zanskar Pass,Bara Lacha Pass,Rohtang Pass,Jalori Pass,A,2018
Where does river Yamuna enter in Sirmaur district after flowing through Uttarakhand?,Tajewala,Khodarmanjari,Baru Sahib,Dadahu,B,2018
Which movement was started under 'Kisan Sabha' with Shri Lakshmi Singh and Vaid Surat Singh?,Praja Mandal,Pajhota Andolan,Swaraj Sangh,Lokraj Sabha,B,2018
Democratisation of the Administration' was the main aim of:,Praja Mandal Movement,Mandi Conspiracy,Bilaspur Struggle,Chamba Agitation,A,2018
When did H.P. first participate in elections under the new constitution?,1952,1957,1962,1967,A,2018
Which Monastery was built by Western Tibet ruler 'Ye-Sashoad' around 996 A.D.?,Gemur,Kardang,Tabo,Tayul,C,2018
Who wrote the book 'Antiquities of Chamba State'?,J. Ph. Vogel,Dr. Francke,Mira Behn,Tshering Dorje,A,2018
Who founded the Guler state?,Hari Chand,Alam Chand,Hamir Chand,Abhaya Chand,A,2018
What was the name given to the River Ravi by the Greek historians?,Hydaspes,Hydraotes,Hesidros,Hyphasis,B,2018
In which year Shimla was declared as the 'Summer Capital' of British India?,1858,1864,1869,1871,B,2018
Who was the first Speaker of H.P. Vidhan Sabha?,Pt. Jaiwant Ram,Tapindra Singh,Des Raj Mahajan,Shravan Kumar,A,2018
"According to 2011 census, what is the density of population per sq. km. in H.P.?",109 persons,121 persons,123 persons,150 persons,C,2018
Which of the following is the highest peak in Shimla District?,Shali,Chanshal,Hatu,Pandoa,B,2018
At which place 'Mundra' port is located?,Odisha,Andhra Pradesh,Gujarat,West Bengal,C,2018
"Who is the author of 'The Himalayan District of Kooloo, Lahaul and Spiti'?",Harcourt,Bruce,Buck,Bernier,A,2018
On which date the 'Department of Information Technology' was created by the Government of Himachal Pradesh?,"5th May, 2000","18th Sept., 2001","1st Jan., 2002","15th Aug., 2003",B,2018
In which year 'The Shimla Hill States Himalayan Pratinidhi Sabha' was formed?,1942,1945,1948,1954,B,2018
What is the length of 'Rohtang Tunnel' (Atal Tunnel)?,8.8 km,9.02 km,10.1 km,11.2 km,B,2018
In which year 'Kunihar Praja Mandal' was organized?,1939,1942,1945,1947,A,2018
The Gaddi shepherds of H.P. are:,Monogamous,Polyandrous,Polygamous,Exogamous,A,2018
In which year did the people of 'Suket State' revolt against their Minister Narotam?,1862,1876,1894,1905,B,2018
What is the altitude of 'Kinner Kailash' peak?,6000 m,6500 m,7000 m,7500 m,B,2018
Who was the Raja of Kullu State during the invasion of Sikhs?,Ajit Singh,Pritam Singh,Vikram Singh,Jagar Singh,A,2018
Who wrote the book 'Antiquities of Chamba State'?,J. Ph. Vogel,Dr. Francke,Mira Behn,Tshering Dorje,A,2018
Who founded the Guler state?,Hari Chand,Alam Chand,Hamir Chand,Abhaya Chand,A,2018
What was the name given to the River Ravi by the Greek historians?,Hydaspes,Hydraotes,Hesidros,Hyphasis,B,2018
In which year Shimla was declared as the 'Summer Capital' of British India?,1858,1864,1869,1871,B,2018
Who was the first Speaker of H.P. Vidhan Sabha?,Pt. Jaiwant Ram,Tapindra Singh,Des Raj Mahajan,Shravan Kumar,A,2018
"According to 2011 census, what is the density of population per sq. km. in H.P.?",109 persons,121 persons,123 persons,150 persons,C,2018
Which of the following is the highest peak in Shimla District?,Shali,Chanshal,Hatu,Pandoa,B,2018
At which place 'Mundra' port is located?,Odisha,Andhra Pradesh,Gujarat,West Bengal,C,2018
"Who is the author of 'The Himalayan District of Kooloo, Lahaul and Spiti'?",Harcourt,Bruce,Buck,Bernier,A,2018
On which date the 'Department of Information Technology' was created by the Government of Himachal Pradesh?,"5th May, 2000","18th Sept., 2001","1st Jan., 2002","15th Aug., 2003",B,2018
In which year 'The Shimla Hill States Himalayan Pratinidhi Sabha' was formed?,1942,1945,1948,1954,B,2018
What is the length of 'Rohtang Tunnel' (Atal Tunnel)?,8.8 km,9.02 km,10.1 km,11.2 km,B,2018
In which year 'Kunihar Praja Mandal' was organized?,1939,1942,1945,1947,A,2018
The Gaddi shepherds of H.P. are:,Monogamous,Polyandrous,Polygamous,Exogamous,A,2018
In which year did the people of 'Suket State' revolt against their Minister Narotam?,1862,1876,1894,1905,B,2018
What is the altitude of 'Kinner Kailash' peak?,6000 m,6500 m,7000 m,7500 m,B,2018
Who was the Raja of Kullu State during the invasion of Sikhs?,Ajit Singh,Pritam Singh,Vikram Singh,Jagar Singh,A,2018
Which of the following waterfalls is not in Chamba District?,Dhancho,Kalika,Rahla,Saatdhara,C,2019
Pin Valley National Park is situated in which District?,Lahaul-Spiti,Kinnaur,Chamba,Kullu,A,2019
Where is the 'Himalayan Forest Research Institute' located?,Solan,Shimla,Manali,Dharamsala,B,2019
What is the rank of H.P. in 'Sustainable Development Goals' (SDG) Index 2018?,First,Second,Third,Fourth,B,2019
In which district of H.P. the 'Uhl-III' Hydroelectric project is located?,Mandi,Kangra,Chamba,Kullu,A,2019
Which pass connects Kangra and Chamba?,Waru Pass,Drati Pass,Kalicho Pass,Shipki La,A,2019
Jatru Kayang' and 'Bakayang' are the folk dances of which district?,Lahaul-Spiti,Kinnaur,Chamba,Sirmaur,B,2019
Who was the first Lieutenant Governor of Himachal Pradesh?,M.S. Himmat Singhji,Bhagwan Sahay,N.C. Mehta,Bajrang Bahadur,A,2019
The historical 'Maidan' of Sujanpur Tira was developed by which Raja?,Sansar Chand,Ghamand Chand,Abhay Chand,Jai Chand,B,2019
In which year was the 'H.P. Public Service Commission' established?,1971,1972,1974,1975,A,2019
Which glacier feeds the River Pabbar?,Chandra Glacier,Bhadal Glacier,Chandranahan Glacier,Dudhon Glacier,C,2019
The 'Viceregal Lodge' in Shimla was designed by:,Henry Irwin,Jacob,Lord Curzon,Edwin Lutyens,A,2019
Which lake is known as the 'Lake of the Moon'?,Suraj Tal,Chandra Tal,Rewalsar,Dashir,B,2019
Who was the leader of the 'Dhami Satyagraha' (1939)?,Bhagmal Sautha,Padam Dev,Dr. Y.S. Parmar,Shivanand Ramaul,A,2019
The fair of 'Lavi' is held at which place?,Rampur,Bilaspur,Solan,Mandi,A,2019
Sipi' fair is celebrated in which month?,April,May,June,July,B,2019
In which district is 'Choordhar' peak located?,Solan,Sirmaur,Shimla,Mandi,B,2019
Who founded the state of 'Sirmour'?,Subans Prakash,Raja Rasaloo,Karma Prakash,Mahi Prakash,B,2019
What is the approximate length of 'Kalka-Shimla' Railway line?,96 km,102 km,110 km,120 km,A,2019
"H.P. Academy of Arts, Culture and Languages' was established in:",1966,1968,1972,1975,B,2019
Tattapani' hot water springs are on the bank of which river?,Satluj,Beas,Ravi,Chenab,A,2019
Kunzum Pass' connects Spiti with:,Lahaul,Kinnaur,Kullu,Tibet,A,2019
Which of the following is the biggest natural lake in H.P.?,Renuka,Rewalsar,Khajjiar,Dal,A,2019
The first 'Param Vir Chakra' recipient from H.P. was:,Major Somnath Sharma,Capt. Vikram Batra,Rifleman Sanjay Kumar,Capt. Saurabh Kalia,A,2019
In which year did 'Mahatma Gandhi' visit Shimla for the first time?,1919,1921,1923,1925,B,2019
Baba Bhalku Rail Museum' is located at:,Kalka,Shimla,Solan,Dharamsala,B,2019
Which of the following waterfalls is not in Chamba District?,Dhancho,Kalika,Rahla,Saatdhara,C,2019
Pin Valley National Park is situated in which District?,Lahaul-Spiti,Kinnaur,Chamba,Kullu,A,2019
Where is the 'Himalayan Forest Research Institute' located?,Solan,Shimla,Manali,Dharamsala,B,2019
What is the rank of H.P. in 'Sustainable Development Goals' (SDG) Index 2018?,First,Second,Third,Fourth,B,2019
In which district of H.P. the 'Uhl-III' Hydroelectric project is located?,Mandi,Kangra,Chamba,Kullu,A,2019
Which pass connects Kangra and Chamba?,Waru Pass,Drati Pass,Kalicho Pass,Shipki La,A,2019
Jatru Kayang' and 'Bakayang' are the folk dances of which district?,Lahaul-Spiti,Kinnaur,Chamba,Sirmaur,B,2019
Who was the first Lieutenant Governor of Himachal Pradesh?,M.S. Himmat Singhji,Bhagwan Sahay,N.C. Mehta,Bajrang Bahadur,A,2019
The historical 'Maidan' of Sujanpur Tira was developed by which Raja?,Sansar Chand,Ghamand Chand,Abhay Chand,Jai Chand,B,2019
In which year was the 'H.P. Public Service Commission' established?,1971,1972,1974,1975,A,2019
