Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section
The Vayupurana mentions 'Kinners' living in which mountain range?,Zanskar,Pir Panjal,Mahanand,Dhauladhar,C,History/Literature
"According to historical sources, the 'Khasa' tribe in Kinnaur was sub-divided into which groups?",Swangla and Gaddi,Kanait and Jad,Pangwal and Bhot,Gujjar and Lahaula,B,Ancient History
Which Raja of Busheher was ruling when the Gorkhas attacked and captured Sarahan (1803-1815)?,Kehri Singh,Padam Singh,Mahendra Singh,Shamsher Singh,C,History
Which Raja of Busheher denied help to the British during the Revolt of 1857?,Raja Sher Singh,Raja Ram Singh,Raja Padam Singh,Raja Chattar Singh,A,History
Who was the 131st Raja of Busheher Riyasat and a 6-time Chief Minister of Himachal Pradesh?,Dr. Y.S. Parmar,Thakur Ram Lal,Raja Bir Badra Singh,Shanta Kumar,C,History/Polity
What is the local term for the 'Arranged Marriage' system in Kinnaur?,Darosh,Jane-Tang,Dam-Tang,Reet,B,Social Customs
"In Kinnauri death ceremonies, what is the term used if the body is disposed of by burning?",Dubant,Bhakant,Fukant,Samadhi,C,Rituals
In which temple at Chini Village (Kalpa) is the Raulane Festival celebrated?,Bhimakali Temple,Shree Narayan Nagin Devi Mandir,Mathi Devi Temple,Chandika Devi Temple,B,Festivals
"What are 'Bakhi Kan', used in the headwear of the 'Raulane' (bride), made of?",Colorful Seeds,Silver Beads,Wild Flowers,Peacock Feathers,A,Culture/Attire
How many specific characters from the Ramayana are enacted during the 'Swang' in Sangla Holi?,5,7,9,11,B,Festivals
The Bering Nag Temple is the center of which village in Kinnaur?,Kalpa,Nichar,Sangla,Pooh,C,Temples
Which festival is celebrated in Kinnaur during the month of July?,Sazo,Losar,Dakhraini,Lavi,C,Festivals
Where is the Kamakhya Devi Temple located in Kinnaur?,Kamru Fort,Sapni Fort,Moorang Fort,Labrang Fort,A,Temples
The Rangrik Tungma Temple is located in which valley of Kinnaur?,Sangla Valley,Ropa Valley,Hangrang Valley,Bhaba Valley,B,Temples
In which town is the Tibetan Wood Carving Centre located?,Reckong Peo,Kalpa,Sangla,Chitkul,C,Places/Art
How many villages from Rampur Busheher were combined with Chini Tehsil to form Kinnaur district?,10,12,14,16,C,History/Admin
The Shongtong Kancham Hydro Power Plant is located on which river?,Ravi,Beas,Chenab,Satluj,D,Economy/Geography
Which language is spoken in Kinnaur alongside Bhoti and Machad?,Chambyali,Homskad,Mandyali,Pangwali,B,Culture/Language
Which of the following is listed as a traditional dance of Kinnaur?,Nati,Dangi,Shon,Mala,C,Dance
"According to Source, what was the first capital of the ancient Trigarta kingdom?",Jalandhar,Multan,Kangra,Pathankot,B,Ancient History
"Which historian/writer referred to the Kangra area as ""Bheemkot""?",Utbi,Alberuni,Farishta,Abul Fazl,C,Medieval History
Which European traveler visited Kangra in 1615 AD?,William Finch,Thomas Coryat,Moorcroft,George Foster,B,History/Travelers
Who was the ruler of Kangra during the invasion of Taimur Lang?,Roop Chand,Megh Chand,Prthvi Chand,Dharam Chand,B,Medieval History
Which ruler of Kangra was a contemporary of Muhammad Bin Tughlaq (1337 AD)?,Prthvi Chand,Jagdish Chand,Hari Chand,Trilok Chand,A,Medieval History
"Who was the first Guler ruler to receive the title of ""Bahadur"" from the Mughals?",Manak Chand,Roop Chand,Govardhan Chand,Bhup Singh,B,History
Which Sikh chieftain assisted Maharaja Sansar Chand in regaining the Kangra Fort in 1786?,Jassa Singh Ramgarhiya,Jai Singh Kanhaiya,Mahaan Singh,Charat Singh,B,History
Who was appointed as the Nizam (Governor) of Jalandhar Doab by Ahmed Shah Durrani in 1759?,Ghamand Chand,Sansar Chand,Abhay Chand,Bhim Chand,A,History
"Who was the last Mughal Qilaadar (Fort Commander) of Kangra Fort, appointed in 1740?",Nawab Ali Khan,Koch Beg,Nawab Saif Ali Khan,Hussain Kuli Khan,C,History
"Which ruler was given the title ""Dharam Rakshak"" by Guru Gobind Singh?",Bhim Chand,Ghamand Chand,Bidhi Chand,Hamir Chand,A,History
Who founded the Jaswan state in 1170 AD?,Purab Chand,Hari Chand,Sibran Chand,Datar Chand,A,History
The merged area of Datarpur and Siba is presently known by which name?,Siba-Datarpur,Dadasibba,Jaswan-Siba,Paragpur,B,Geography/History
In which year did the Kangra Art Museum in Dharamshala open?,1950,1971,1990,2005,C,Art/Culture
Who are the two merchants credited with building the Baijnath Temple in 1204 AD?,Manyuka and Ahuka,Jinda and Kinda,Bushehri and Saho,Nandu and Panna,A,Culture/Temples
Which folk drama is specifically associated with the Kangra region in the text?,Karyala,Banthra,Bhagatan,Swang,C,Culture
Where is the Shobha Singh Art Gallery located?,Naggar,Andreta,Pragpur,Jawali,B,Art/Culture
In which year did Kangra Tea receive the Geographical Indication (GI) tag from the European Union?,2005,2012,2017,2023,D,Economy/GK
In which year was the Kangra Painting granted the GI tag?,2005,2012,2014,2023,B,Art/GK
Which peak is explicitly mentioned as being located in the Kangra district in the sources?,Shilla,Leo Pargial,Tamsar,Churdhar,C,Geography
Who was the last direct lineage ruler of Maharaja Sansar Chand before the British annexation?,Anirudh Chand,Pramod Chand,Ranbir Chand,Fateh Chand,B,History
The Hari-rai Temple in Chamba is a prominent example of which architectural style?,Pagoda,Shikhara,Pent Roof,Flat Roof,B,Art & Architecture
Which architectural style does the Adi Brahma Temple in Kullu follow?,Shikhara,Pagoda,Dome,Pyramidal,B,Art & Architecture
The Sandhyadevi Temple in Kullu belongs to which category of temple architecture?,Shikhara,Flat Roof,Pent Roof,Dome,A,Art & Architecture
The Brijeshwari Temple in Kangra is constructed in which style?,Pent Roof,Shikhara,Dome,Pagoda,C,Art & Architecture
Which style is represented by the Kameshwar Temple in Mandi?,Dome,Pyramidal,Flat Roof,Shikhara,A,Art & Architecture
The Ram Temple located in Damtal is an example of which architecture?,Flat Roof,Pagoda,Pent Roof,Dome,A,Art & Architecture
The Mahasu Temple in Shimla is built in which distinctive style?,Shikhara,Pyramidal,Dome,Flat Roof,B,Art & Architecture
Tarna Mata Temple in Mandi follows which architectural pattern?,Pagoda,Shikhara,Dome,Pent Roof,C,Art & Architecture
In which district is the Ram Temple (Flat Roof style) located?,Kangra,Una,Damtal,Hamirpur,C,Art & Architecture
Which of the following temples in Mandi uses the Pagoda style?,Kameshwar,Tarna Mata,Parashar,Brijeshwari,C,Art & Architecture
The Maheswar Temple in Kinnaur is built in which style?,Pent Roof,Shikhara,Flat Roof,Pagoda,D,Art & Architecture
Which temple in Kullu is an example of Shikhara style architecture?,Hadimba,Manu,Sandhyadevi,Bijli Mahadev,C,Art & Architecture
Both Hateshwari and Mahasu temples in Shimla share which architectural style?,Pyramidal,Flat Roof,Dome,Shikhara,A,Art & Architecture
The Brajraj Temple (Flat Roof style) is located in which place?,Nurpur,Damtal,Sujanpur,Masroor,A,Art & Architecture
Which temple in Chamba matches the Shikhara style of the Lakshminarayan Temple?,Lakshana Devi,Shakti Devi,Hari-rai,Chhatrari,C,Art & Architecture
The Chaugaon Temple is located in which district?,Kullu,Kinnaur,Mandi,Chamba,B,Art & Architecture
Which of the following temples is NOT a Pagoda style structure?,Hadimba,Manu,Adi Brahma,Vaidyanath,D,Art & Architecture
The Jawalamukhi and Brijeshwari temples share which common architectural style?,Dome,Shikhara,Pent Roof,Pyramidal,A,Art & Architecture
Which architectural style is found in the Shiva Temple of Jubbal?,Pyramidal,Pagoda,Flat Roof,Dome,A,Art & Architecture
The Thakurdwara Temple (Masroor) is associated with which style?,Pent Roof,Shikhara,Flat Roof,Dome,B,Art & Architecture
"Who is the writer of the book ""Art and Architecture""?",Mia Govardhan,OC Handa,WG Archer,Anand Chand,A,Literature
"The book ""Boond Samaan Samudra"" was written by which author?",LC Pandey,Prem Pakhrolvi,JC Franck,Edward Buck,B,Literature
"""Rajas of Punjab Hills"" is a literary work by?",Lempel Grift,MS Randhawa,Nicholes Roare,Chandradhar Guleri,A,Literature
"Who authored the book ""Passage to Himalayas""?",Harish Kapadia,YS Parmar,Manmohan Singh,Kanwar Ranzor Singh,A,Literature
Which of the following books was written by Dr. YS Parmar?,HP: Its State & Status,Antiquity of Chamba,Bilaspur ki Kahani,Himalayan Art,A,Literature
"Who wrote ""HP case for statehood""?",Shanta Kumar,YS Parmar,Akshar Singh,JP Vogel,B,Literature
"The book ""HP area, language and strategy for the elevation of hill states"" is authored by?",Anand Chand,YS Parmar,Daleep Chakravarti,BC Chhabra,B,Literature
"""Social and Economic Background of Himalayan Politics"" is a work associated with which personality?",Shanta Kumar,YS Parmar,Mia Govardhan,Prem Pakhrolvi,B,Literature
"""Vishwa Vijeta Vivekanand"" was written by which politician?",YS Parmar,Shanta Kumar,Anand Chand,Kanwar Ranzor Singh,B,Literature
"Who is the author of ""Kranti Abhi Adhoori Hai""?",Shanta Kumar,Chandradhar Guleri,Lempel Grift,Harish Kapadia,A,Literature
"""Rajneeti Ki Shatranj"" is a book written by?",Manmohan Singh,Shanta Kumar,J Hutchinson,LC Pandey,B,Literature
JP Vogel is the writer of which of the following titles?,Antiquity of Chamba,"Bilaspur past, present and future",Abode of Light,Dharti Balidan Ki,A,Literature
"Who wrote the book ""Tarikh-i-Riyasat Sirmour""?",Raja Rasaloo,Kanwar Ranzor Singh,Manmohan Singh,Anand Chand,B,Literature
"According to historical records, in which year was the state of Sirmour founded?",1139,1240,1009,1339,A,History
Which book is Edward Buck known for writing?,Shimla Past and Present,Prachin Himachal,Himalayan Art,Basholi Painting,A,Literature
OC Handa is the writer of which book?,Buddhist Art and Antiquities of Himachal Pradesh,Indian Painting from Punjab hills,The Early Wooden Temples of Chamba,Antiquities of Kangra State,A,Literature
Daleep Chakravarti is the author of which work?,Antiquities of Kangra State,Bilaspur ki Kahani,Usne kaha tha,Passage to Himalayas,A,Literature
Hermen Goetz wrote which of the following books?,The Early Wooden Temples of Chamba,History of Mandi State,Antiquities of Chamba State (Part 2),Himalayan Art,A,Literature
JC Franck is the writer of which book?,Himalayan Art,Abode of Light,Rajas of Punjab Hills,Boond Samaan Samudra,A,Literature
Manmohan Singh authored which historical text?,History of Mandi State,History of the Punjab Hill States,Tarikh-i-Riyasat Sirmour,"Bilaspur past, present and future",A,Literature
