Question,Option A,Option B,Option C,Option D,Correct Option (A/B/C/D),Section
What is the standard Window keyboard shortcut key combination for Redo?,Ctrl + Minus,Ctrl + Y,Ctrl + Shift + A,Ctrl + Z,B,JOA IT
1 Megabyte is equal to how much?,1024 KB,1024 MB,1024 Bytes,1024 GB,A,JOA IT
What is the shortcut key to create subscript in MS Word?,Alt + Shift + D,Ctrl + Equal,Alt + Equal,Ctrl + S,B,JOA IT
The primary memory is located on the ______,Expansion Board,Motherboard,Storage Device,Output Device,B,JOA IT
What is the shortcut key for the central alignment of a line or a text in MS Office Software?,Ctrl + E,Ctrl + A,Ctrl + G,Ctrl + C,A,JOA IT
Which of the following is a soft copy output device?,Printer,Monitor,Plotter,Daisy Wheel Printer,B,JOA IT
Who among the following is known as the Father of Internet?,Vint Cerf,Serge Brin,Larry Page,Bill Gates,A,JOA IT
Which of the following option is not a function of the Operating System?,Memory Management,Process Management,File Management,Database Management,D,JOA IT
To execute the cut function in MS Excel which of the following keyboard shortcut key combination is used?,Ctrl + C,Ctrl + X,Alt + F,Ctrl + O,B,JOA IT
Wi-Fi stands for what?,Wireless Fidelity,Wired Fidelity,Wireless Factor,Wired Factor,A,JOA IT
Which of the following is not a first generation computer?,UNIVAC I,IBM 701,ENIAC,PDP 11,D,JOA IT
Which of the following is not an output device?,Plotter,Printer,Scanner,Monitor,C,JOA IT
Which of the following keyboard shortcut is used to open File Explorer in Window Operating System?,Window Logo Key + E,Window Logo Key + I,Window Logo Key + C,F5,A,JOA IT
Which among the following is NOT an image file format?,BMP,WEBP,CSV,SVG,C,JOA IT
CPUs are composed of डैश functional section.,1,2,3,4,C,JOA IT
What is the default port number used by HTTP?,89,80,21,23,B,JOA IT
Program stored in which of the following memories cannot be erased?,RAM,ROM,Cache Memory,Virtual Memory,B,JOA IT
What is meant by CCTV?,Closed Circuit Television,Current Circuit Television,Central Control Television,Circuit Control Television,A,JOA IT
Which of the following is NOT an antivirus software?,Kaspersky,Norton,Avast,Unix,D,JOA IT
"With respect to memory, what is the full form of USB?",Universal Serial Bus,Universal Standard Bus,Unified Serial Bus,Unified Standard Bus,A,JOA IT
Which of the following programming languages are considered at low level language?,"Basic, Cobol or Fortran","C, C++",Assembly Language,Prolog,C,JOA IT
The most powerful computer is?,Supercomputer,Microcomputer,Mainframe computer,Minicomputer,A,JOA IT
Which of the following is not an output device?,Plotter,Printer,Monitor,Touch Screen,D,JOA IT
Built-in memory of computer is?,RAM,ROM,PROM,EPROM,B,JOA IT
An example of processing device would be?,A hard drive,A keyboard,A special function card,A scanner,C,JOA IT
Computer language used on the internet is?,Java,Pascal,COBOL,FORTRAN,A,JOA IT
Information on a computer is stored as?,Analog data,Digital data,Hybrid data,None of these,B,JOA IT
A string of eight zeros and ones is called a?,Megabyte,Kilobyte,Byte,Gigabyte,C,JOA IT
MS Word is an example of?,System software,Application software,Utility software,Operating system,B,JOA IT
What is correcting errors in program called?,Debugging,Testing,Compiling,Interpreting,A,JOA IT
A computer cannot boot if it does not have the?,Compiler,Loader,Operating system,Assembler,C,JOA IT
"One who designs, writes, tests and maintains computer program is called?",Computer scientist,Programmer,Computer engineer,Computer operator,B,JOA IT
Vendor created program modifications are called?,Patches,Updates,Upgrades,Fixes,A,JOA IT
To access a mainframe or super computer users often use a?,Terminal,Node,Desktop,Handheld,A,JOA IT
Dumb terminals have terminals and?,Mouse,Monitor,Keyboard,Speaker,C,JOA IT
Unsolicited emails is called?,Spam,Malware,Virus,Phishing,A,JOA IT
What is modem connected to?,Motherboard,CPU,Phone line,USB port,C,JOA IT
Computer basic architect was developed by?,Charles Babbage,John Von Neumann,Blaise Pascal,Herman Hollerith,B,JOA IT
First electronic digital computer contained?,Electronic valves,Transistors,Integrated circuits,Microprocessors,A,JOA IT
FORTRAN is useful in which sector?,Scientific,Business,Commercial,Industrial,A,JOA IT
A single bus structure is primarily found in?,Mainframe computer,Supercomputer,Mini and micro computer,Hybrid computer,C,JOA IT
The accuracy of analog computer is very?,Low,High,Medium,None of these,A,JOA IT
The speed of computer is usually measured in?,MHz,GHz,Both A and B,None of these,C,JOA IT
The CPU and memory are located on the?,Expansion board,Motherboard,Data bus,Hard disk,B,JOA IT
The performance of computer can be measured by?,Clock speed,Memory size,Hard disk space,Monitor resolution,A,JOA IT
What is Register?,A sequential circuit,A combinational circuit,A memory unit,A control unit,A,JOA IT
Instructions and memory address in computer field are represented by?,Digital codes,Binary codes,Octal codes,Hexadecimal codes,B,JOA IT
An optical mouse uses?,Light emitting diode (LED),Laser beam,Infrared light,Ultraviolet light,A,JOA IT
What type of device is digital camera?,Output device,Input device,Processing device,Storage device,B,JOA IT
Daisy Wheel Printer is a type of?,Non-impact printer,Impact printer,Laser printer,Thermal printer,B,JOA IT
Which of the following is used to produce graphic output?,Plotter,Printer,Monitor,Scanner,A,JOA IT
Continuous line drawing are produced using?,Printer,Scanner,Plotter,Mouse,C,JOA IT
What technology is used for flat panel display?,Plasma,LCD,Both Plasma and LCD,LED,C,JOA IT
Which one of the following is termed as combination of Input-Output Device?,VDT,CPU,ALU,Keyboard,A,JOA IT
Which of the following is fastest impact printer?,Dot Matrix Printer,Chain Printer,Drum Printer,Line Printer,B,JOA IT
Resolution of Laser Printer is specified in term of?,DPI,PPI,LPM,CPM,A,JOA IT
Which printer is very commonly used for desktop publishing?,Laser printer,Inkjet printer,Dot matrix printer,Daisy wheel printer,A,JOA IT
Plotter prints?,With ball point pen,With ink pen,Electrostatically,All of these,D,JOA IT
To produce high quality graphics hard copy in computer you would use an?,Scanner,Plotter,Printer,Monitor,B,JOA IT
USB Port comes under?,Serial port,Parallel port,Network port,Video port,A,JOA IT
Which of the following require large computer memory?,Imaging,Graphics,Voice,All of these,D,JOA IT
EPROM is generally erased by using?,Ultraviolet rays,Infrared rays,Electrical signals,Magnetic fields,A,JOA IT
Cache Memory acts between?,CPU and RAM,RAM and ROM,CPU and Hard Disk,Hard Disk and ROM,A,JOA IT
Three bit binary member can be represented by?,Decimal number,Binary number,Hexadecimal number,Octal number,D,JOA IT
The Binary Coded Decimal (BCD) uses ______ bits.,Four,Eight,Sixteen,Thirty-two,A,JOA IT
Text editor is an?,Application software,System software,Utility software,Operating system,C,JOA IT
Which of the following Windows utilities will erase unwanted files?,Disk Defragmenter,Disk Cleaner,ScanDisk,Disk Partitioner,B,JOA IT
Virus full form is?,Vital Information Resources Under Siege,Very Important Resources Under Seizure,Volatile Information Resources Under Siege,Virtual Information Resources Under Siege,A,JOA IT
The software that is used to create text based document is referred as?,Spreadsheet program,Presentation software,Database software,Word Processor,D,JOA IT
A pseudo code is a?,Programming language,Machine code,Structured English to communicate the logic of a program,Assembly language,C,JOA IT
A program written in machine language is called?,Source code,Object code,Assembly code,High-level code,B,JOA IT
"In MS Word, what is the default file extension for all Word documents?",.txt,.docx,.doc,.ppt,B,JOA IT
Which key is used to check spellings in MS Word?,F5,F7,F9,F12,B,JOA IT
What is the maximum zoom size in WordPad?,100%,200%,500%,1000%,C,JOA IT
What is the minimum zoom size in WordPad?,5%,10%,25%,50%,B,JOA IT
What is the minimum number of rows and columns in an MS Word document?,0 and 0,1 and 1,2 and 2,3 and 3,B,JOA IT
"In WordPad, what are Home and View called?",Menus,Tabs,Ribbons,Panels,B,JOA IT
How many ways can you save a document in MS Word?,1,2,3,4,C,JOA IT
Pressing F8 key for three times in MS Word selects what?,A word,A sentence,A paragraph,Entire document,B,JOA IT
What is the shortcut key to split a table in MS Word?,Ctrl + Alt + Enter,Ctrl + Shift + Enter,Alt + Shift + Enter,Ctrl + Enter,B,JOA IT
Which of the following is NOT a type of page margin?,Left,Right,Center,Top,C,JOA IT
Which option in the File pull-down menu is used to close a file in MS Word?,Exit,Save,Close,New,C,JOA IT
Which is NOT available in font spacing in MS Word?,Normal,Loosely,Condensed,Expanded,B,JOA IT
A word processor would most likely be used to do what?,Maintain an account,Analyze data,Type a biography,Draw pictures,C,JOA IT
Which is NOT an essential component to perform a mail merge operation?,Main document,Data source,Word field,Merge field,C,JOA IT
Which of the following are Word Processing Software?,Word Perfect,MS Word,All of these,WS Word,C,JOA IT
What do cursor control commands allow the user to do?,Move one character at a time,Jump to the beginning or end of the current line,Move one word at a time,All of these,D,JOA IT
An example of a block move operation is:,Copy and paste,Cut and paste,Drag and drop,All of these,B,JOA IT
Which allows you to resume a portion of text several times in a document?,Copy and cut,Block and copy,Paste and cut,All of these,B,JOA IT
"By default, on which page is the header or the footer printed?",First page,Last page,Every page,Odd pages only,C,JOA IT
What is the shortcut key for manual line break?,Ctrl + Enter,Shift + Enter,Alt + Enter,Spacebar + Enter,B,JOA IT
